depth 0 : train=0.48735 , val=0.48938, test=0.48614
depth 1 : train=0.61463 , val=0.61543, test=0.61450
depth 2 : train=0.64640 , val=0.64645, test=0.64693
depth 3 : train=0.66615 , val=0.66669, test=0.66669
depth 4 : train=0.67379 , val=0.67444, test=0.67477
depth 5 : train=0.68219 , val=0.68302, test=0.68115
depth 6 : train=0.70736 , val=0.70810, test=0.70641
depth 7 : train=0.72279 , val=0.72297, test=0.72181
depth 8 : train=0.73305 , val=0.73213, test=0.73191
depth 9 : train=0.74211 , val=0.74066, test=0.73976
depth 10 : train=0.75781 , val=0.75508, test=0.75457
depth 11 : train=0.77504 , val=0.77075, test=0.77107
depth 12 : train=0.79560 , val=0.78949, test=0.78812
depth 13 : train=0.81598 , val=0.80590, test=0.80519
depth 14 : train=0.83820 , val=0.82230, test=0.82194
depth 15 : train=0.86048 , val=0.83931, test=0.83880
depth 16 : train=0.87993 , val=0.85286, test=0.85347
depth 17 : train=0.89676 , val=0.86534, test=0.86560
depth 18 : train=0.91029 , val=0.87409, test=0.87481
depth 19 : train=0.92092 , val=0.88069, test=0.88052
depth 20 : train=0.92847 , val=0.88523, test=0.88518
depth 21 : train=0.93412 , val=0.88797, test=0.88820
depth 22 : train=0.93780 , val=0.88939, test=0.88980
depth 23 : train=0.93957 , val=0.89079, test=0.89091
depth 24 : train=0.94048 , val=0.89108, test=0.89082
depth 25 : train=0.94106 , val=0.89129, test=0.89111
depth 26 : train=0.94120 , val=0.89135, test=0.89124
depth 27 : train=0.94122 , val=0.89132, test=0.89122
depth 28 : train=0.94122 , val=0.89132, test=0.89122
depth 29 : train=0.94122 , val=0.89132, test=0.89122
depth 30 : train=0.94122 , val=0.89132, test=0.89122
depth 31 : train=0.94122 , val=0.89132, test=0.89122
depth 32 : train=0.94122 , val=0.89132, test=0.89122
depth 33 : train=0.94122 , val=0.89132, test=0.89122
depth 34 : train=0.94122 , val=0.89132, test=0.89122
