depth 0 : train=0.48735 , val=0.48938, test=0.48614
depth 1 : train=0.61463 , val=0.61543, test=0.61450
depth 0 : train=0.48735 , val=0.48938, test=0.48614
depth 1 : train=0.61463 , val=0.61543, test=0.61450
depth 2 : train=0.64640 , val=0.64645, test=0.64693
depth 3 : train=0.66615 , val=0.66669, test=0.66669
depth 4 : train=0.67379 , val=0.67444, test=0.67477
depth 0 : train=0.48735 , val=0.48938, test=0.48614
depth 1 : train=0.61463 , val=0.61543, test=0.61450
depth 2 : train=0.64640 , val=0.64645, test=0.64693
depth 3 : train=0.66615 , val=0.66669, test=0.66669
depth 4 : train=0.67379 , val=0.67444, test=0.67477
depth 5 : train=0.68219 , val=0.68302, test=0.68115
depth 6 : train=0.70736 , val=0.70810, test=0.70641
depth 7 : train=0.72276 , val=0.72307, test=0.72201
depth 8 : train=0.73273 , val=0.73235, test=0.73182
depth 9 : train=0.74163 , val=0.74093, test=0.73965
depth 10 : train=0.75774 , val=0.75526, test=0.75457
depth 11 : train=0.77504 , val=0.77085, test=0.77111
depth 12 : train=0.79553 , val=0.78968, test=0.78813
